,00:02:6f:8e:64:67,1,-91,
yosh,00:11:6b:11:02:b7,1,-81,
yosh,00:11:6b:11:7e:0c,1,-84,
Coolnet-Hotspot,00:18:25:12:72:f0,7,-92,
Afikim_Wifi,00:1a:dd:f5:df:c5,6,-87,
KCG-ADSL,00:1d:aa:81:d8:3c,3,-84,35.209840663178674,32.10270380676144,699.7533801432404,
,00:27:22:f3:bb:2b,6,-87,
DIRECT-IRDESKTOP-ETE41T5msTU,02:21:5c:af:69:82,36,-90,
Ariel_University,1c:b9:c4:12:7c:c8,11,-73,
Ariel_University,1c:b9:c4:12:90:b8,11,-71,35.20914736266512,32.10288982055718,688.274057281677,
Ariel_University,1c:b9:c4:12:af:78,11,-79,35.209895311446346,32.10327649148049,703.8533076677437,
Ariel_University,1c:b9:c4:12:af:7c,40,-77,
Ariel_University,1c:b9:c4:14:2b:88,11,-86,35.209958682147445,32.10337661635241,698.3196084604082,
Ariel_University,1c:b9:c4:14:2b:8c,44,-82,
Ariel_University,1c:b9:c4:14:2b:c8,6,-90,35.211049231927326,32.10484981771547,693.9879864159316,
Ariel_University,1c:b9:c4:14:2b:d8,1,-69,
Ariel_University,1c:b9:c4:14:2b:dc,36,-74,
Ariel_University,1c:b9:c4:14:2c:38,6,-76,
Ariel_University,1c:b9:c4:14:2c:3c,52,-77,
Ariel_University,1c:b9:c4:14:2f:68,6,-90,35.20881618197919,32.10263388247981,687.2552119952795,
Ariel_University,1c:b9:c4:14:30:38,1,-87,35.209737799531574,32.102891231391595,703.642592827081,
Ariel_University,1c:b9:c4:14:30:3c,44,-76,
Ariel_University,1c:b9:c4:14:33:c8,11,-84,35.209099403179636,32.10259991119283,688.8197664584148,
Ariel_University,1c:b9:c4:14:33:cc,48,-86,
Ariel_University,1c:b9:c4:15:1c:b8,1,-81,35.20964572345297,32.10374550103631,695.2166577677116,
Ariel_University,1c:b9:c4:15:1c:bc,36,-84,
Ariel_University,1c:b9:c4:15:1e:68,1,-80,
Ariel_University,1c:b9:c4:15:1e:6c,36,-83,
Ariel_University,1c:b9:c4:15:23:58,6,-85,
Ariel_University,1c:b9:c4:15:25:48,1,-88,
Ariel_University,1c:b9:c4:15:3a:38,11,-76,
